Name,Website,Domain,Description,Location,Founded,Employees,Specialties,Technologies,Category,Subcategory,Image URL
圖靈創新有限公司 （Turing Innovations ）,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
ÅBN,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
.dodocs,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
}Exghts,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
&frankly,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Üin,,,,,,,[object Object]; [object Object],,AI Company,,
&Open,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
(Re)vive,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
&Volume,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1.security,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
100ms,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
10kM.ai,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
11Sight,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
123FormBuilder,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
12New.AI,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
14bis Supply Tracking,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1Breadcrumb,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1Check,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
"1Director, Inc.",,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1Fort,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1Huddle,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1m,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1sales.io,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1Strike.io,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
1VALET,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
207,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
21strategies,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
2400.tech,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
24metrics,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
24sessions,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
24SevenOffice,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
280 CapMarkets,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
2DA Analytics,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
2NDNATURE,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
30 Birds,,,,,,,[object Object]; [object Object],,AI Company,,
30SecondsToFly - Claire,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
32Health,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
35up,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
360Converge,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
365talents,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
36ZERO Vision,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
3721zh.com,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
3D Interaction Technologies,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
3D Repo,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
3D Spark,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
3DProBox,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
3RDi Corp,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
3rdRisk,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
3S,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
3TEN8,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
4-Tell,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
42Crunch,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
4impactdata,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
4SUITES,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
5 Point Medical,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
506.ai,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
50skills,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
5miles,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
6Degree,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
7Geese,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
7Learnings,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
7LYTIX,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
7Park Data,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
7tech,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
8base,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
9Lenses,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
A1A,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
A3BC,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
aapi Inc.,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
AarogyaAI,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Aaron.ai,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Aavenir,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Abacus Insights,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
ABAKA Holdings,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Abbot,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
Abby,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
ABCXchange,,,,,,,[object Object],,AI Company,,
Abide,,,,,,,[object Object]; [object Object],,AI Company,,
Abjjad,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Abl Schools,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Abler Recrutamento Digital,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Aboard,,,,,,,[object Object]; [object Object],,AI Company,,
Abonesepeti,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
Abrace uma Causa,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Abre,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Abridge,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
Absolute Labs,,,,,,,[object Object]; [object Object]; [object Object],,AI Company,,
Abstra,,,,,,,[object Object]; [object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
Abstract,,,,,,,[object Object]; [object Object]; [object Object]; [object Object],,AI Company,,
